"Date";"Time";"Junction";"Vehicles"
2015-11-01 00:00:00;1970-01-01 00:00:00;1;15
2015-11-01 00:00:00;1970-01-01 01:00:00;1;13
2015-11-01 00:00:00;1970-01-01 02:00:00;1;10
2015-11-01 00:00:00;1970-01-01 03:00:00;1;7
2015-11-01 00:00:00;1970-01-01 04:00:00;1;9
2015-11-01 00:00:00;1970-01-01 05:00:00;1;6
2015-11-01 00:00:00;1970-01-01 06:00:00;1;9
2015-11-01 00:00:00;1970-01-01 07:00:00;1;8
2015-11-01 00:00:00;1970-01-01 08:00:00;1;11
2015-11-01 00:00:00;1970-01-01 09:00:00;1;12
2015-11-01 00:00:00;1970-01-01 10:00:00;1;15
2015-11-01 00:00:00;1970-01-01 11:00:00;1;17
2015-11-01 00:00:00;1970-01-01 12:00:00;1;16
2015-11-01 00:00:00;1970-01-01 13:00:00;1;15
2015-11-01 00:00:00;1970-01-01 14:00:00;1;16
2015-11-01 00:00:00;1970-01-01 15:00:00;1;12
2015-11-01 00:00:00;1970-01-01 16:00:00;1;12
2015-11-01 00:00:00;1970-01-01 17:00:00;1;16
2015-11-01 00:00:00;1970-01-01 18:00:00;1;17
2015-11-01 00:00:00;1970-01-01 19:00:00;1;20
2015-11-01 00:00:00;1970-01-01 20:00:00;1;17
2015-11-01 00:00:00;1970-01-01 21:00:00;1;19
2015-11-01 00:00:00;1970-01-01 22:00:00;1;20
2015-11-01 00:00:00;1970-01-01 23:00:00;1;15
2015-11-02 00:00:00;1970-01-01 00:00:00;1;14
2015-11-02 00:00:00;1970-01-01 01:00:00;1;12
2015-11-02 00:00:00;1970-01-01 02:00:00;1;14
2015-11-02 00:00:00;1970-01-01 03:00:00;1;12
2015-11-02 00:00:00;1970-01-01 04:00:00;1;12
2015-11-02 00:00:00;1970-01-01 05:00:00;1;11
2015-11-02 00:00:00;1970-01-01 06:00:00;1;13
2015-11-02 00:00:00;1970-01-01 07:00:00;1;14
2015-11-02 00:00:00;1970-01-01 08:00:00;1;12
2015-11-02 00:00:00;1970-01-01 09:00:00;1;22
2015-11-02 00:00:00;1970-01-01 10:00:00;1;32
2015-11-02 00:00:00;1970-01-01 11:00:00;1;31
2015-11-02 00:00:00;1970-01-01 12:00:00;1;35
2015-11-02 00:00:00;1970-01-01 13:00:00;1;26
2015-11-02 00:00:00;1970-01-01 14:00:00;1;34
2015-11-02 00:00:00;1970-01-01 15:00:00;1;30
2015-11-02 00:00:00;1970-01-01 16:00:00;1;27
2015-11-02 00:00:00;1970-01-01 17:00:00;1;27
2015-11-02 00:00:00;1970-01-01 18:00:00;1;24
2015-11-02 00:00:00;1970-01-01 19:00:00;1;26
2015-11-02 00:00:00;1970-01-01 20:00:00;1;29
2015-11-02 00:00:00;1970-01-01 21:00:00;1;32
2015-11-02 00:00:00;1970-01-01 22:00:00;1;30
2015-11-02 00:00:00;1970-01-01 23:00:00;1;27
